StockCode,TotalRevenue,TotalQuantity,PurchaseFrequency,UniqueCustomers,ReturnRate,SalesRevenue,ReturnLoss,NetRevenue,Cluster,Category,Insight
10002,699.55,823,49,40,0,699.55,0,699.55,0,Low Demand,✅ Profitable Product
10080,114.41,291,21,19,0,114.41,0,114.41,0,Low Demand,📉 Low Performance
10120,40.53,193,29,25,0,40.53,0,40.53,0,Low Demand,📉 Low Performance
10123C,3.25,5,3,3,0,3.25,0,3.25,0,Low Demand,📉 Low Performance
10124A,6.72,16,5,5,0,6.72,0,6.72,0,Low Demand,📉 Low Performance
10124G,7.14,17,4,4,0,7.14,0,7.14,0,Low Demand,📉 Low Performance
10125,930.3,1226,61,49,0,930.3,0,930.3,0,Low Demand,✅ Profitable Product
10133,1139.41,2374,123,101,1,1143.61,-4.2,1139.41,0,Low Demand,✅ Profitable Product
10135,1785.44,1937,118,92,1,1786.69,-1.25,1785.44,0,Low Demand,✅ Profitable Product
11001,1715.95,1067,67,45,5,1953,-237.05,1715.95,0,Low Demand,✅ Profitable Product
15030,41.47,143,12,11,0,41.47,0,41.47,0,Low Demand,📉 Low Performance
15034,588.77,5034,95,70,4,697.06,-108.29,588.77,0,Low Demand,✅ Profitable Product
15036,15538.76,21132,328,194,4,16044.44,-505.68,15538.76,1,Stable,✅ Profitable Product
15039,1111.05,1533,73,58,3,1133.15,-22.1,1111.05,0,Low Demand,✅ Profitable Product
15044A,1245.33,427,79,53,1,1248.28,-2.95,1245.33,0,Low Demand,✅ Profitable Product
15044B,862.7,306,49,37,1,865.65,-2.95,862.7,0,Low Demand,✅ Profitable Product
15044C,774.35,269,62,43,2,782.4,-8.05,774.35,0,Low Demand,✅ Profitable Product
15044D,1730.24,628,75,54,2,1735.74,-5.5,1730.24,0,Low Demand,✅ Profitable Product
15056BL,14566.17,2649,296,142,5,15218.67,-652.5,14566.17,2,Hidden Loss,✅ Profitable Product
15056N,20430.66,3781,384,184,6,20696.71,-266.05,20430.66,2,Hidden Loss,✅ Profitable Product
15056P,4195.96,759,139,89,4,4254.16,-58.2,4195.96,0,Low Demand,✅ Profitable Product
15058A,1067.25,143,55,41,4,1104.6,-37.35,1067.25,0,Low Demand,✅ Profitable Product
15058B,828.9,110,43,32,2,866.25,-37.35,828.9,0,Low Demand,✅ Profitable Product
15058C,894.35,193,30,26,0,894.35,0,894.35,0,Low Demand,✅ Profitable Product
15060B,1479.12,410,96,68,1,1482.87,-3.75,1479.12,0,Low Demand,✅ Profitable Product
16008,360.71,2892,70,54,0,360.71,0,360.71,0,Low Demand,✅ Profitable Product
16010,3.6,30,3,3,0,3.6,0,3.6,0,Low Demand,📉 Low Performance
16011,372.33,1773,46,38,0,372.33,0,372.33,0,Low Demand,✅ Profitable Product
16012,261.24,1244,35,33,0,261.24,0,261.24,0,Low Demand,✅ Profitable Product
16014,4335.76,13328,54,34,0,4335.76,0,4335.76,2,Hidden Loss,✅ Profitable Product
16015,289.98,662,24,19,0,289.98,0,289.98,0,Low Demand,✅ Profitable Product
16016,1053.45,1273,65,41,0,1053.45,0,1053.45,0,Low Demand,✅ Profitable Product
16020C,5.1,6,2,1,0,5.1,0,5.1,0,Low Demand,📉 Low Performance
16033,100.8,840,4,4,0,100.8,0,100.8,0,Low Demand,📉 Low Performance
16043,11.76,98,2,2,0,11.76,0,11.76,0,Low Demand,📉 Low Performance
16045,380,8900,68,61,0,380,0,380,0,Low Demand,✅ Profitable Product
16046,56.95,67,13,13,0,56.95,0,56.95,0,Low Demand,📉 Low Performance
16048,186.84,1437,47,41,0,186.84,0,186.84,0,Low Demand,📉 Low Performance
